PCA1,PCA2,Cluster
-2.8437320347174495,0.7138782755106545,0
-2.8675806200254343,0.7282066237241437,0
-2.7835733154514166,0.393165906116789,2
-2.8943573561707003,-0.11081159475495858,2
-2.790143399095363,0.40717966577982706,0
-2.823607749052986,1.9644901653430291,0
-2.8285996177077872,0.9421450672530649,2
-2.850494765766187,-2.2678056222700222,2
-2.7736008216889534,-0.9412956339322058,0
-2.6312172784828025,0.5093341492607167,2
-2.592319211754574,2.263388627546349,0
-2.7014435560861347,-0.8560124138147661,2
-2.522984324022698,0.5556540428616822,2
-2.5511463847240203,1.222783679026946,0
-2.5030628871735923,0.8428573508710245,0
-2.5810536276288367,0.5549980824986863,2
-2.4832067995637415,-1.3428598511051866,2
-2.441106351351252,0.7282263629109215,0
-2.4230660112806612,2.4622737369757726,0
-2.6428405044924803,0.7184589575544545,0
-2.3914788760140255,-0.15700892603480765,0
-2.407371527607914,0.2534729131035781,2
-2.4476889397214414,1.1651222938317394,0
-2.3613496639658544,0.536820021860834,0
-2.2826947053444253,-1.1112097104800895,2
-2.321984742795693,-0.6532453497428276,0
-2.301261096318151,0.7734336102335175,0
-2.2874014286255235,1.2877452762149963,0
-2.724442208088129,-0.2897327480117414,0
-2.047010361921854,2.0840166238920923,0
-2.1631684617451166,0.17763665171361875,2
-2.1429181373651773,-1.740094425077087,2
-2.395008582862081,0.401983227259416,0
-2.0312947277658457,-0.46633150440931864,0
-2.425280114502413,-0.9455476192733145,0
-2.537470525494747,-0.1585026820307419,0
-2.3115986737580188,2.452356016921657,0
-2.286347710756541,-2.476420728584463,2
-2.1506012643902985,0.3354145442364929,0
-2.399464648963922,0.2622567358989834,2
-2.2763547300305667,1.0809193839312337,0
-2.3488306529886445,-0.8235391926818496,0
-2.4202880123750137,-0.7337349728997467,2
-2.1664671467405876,0.5143027227585676,0
-2.2616353479940945,-0.5381381420729849,0
-1.9580281539038553,0.34695716377077757,0
-2.251540263000458,-0.4424810348706484,2
-1.931675063804729,0.6467511741253824,0
-2.1294142911043643,-0.3806342275431325,2
